Period    ,From ,To,km2,QtPixel ,Interval,yearFrom,yearTo
1985-2020,Non Observed,Non Observed,"15,6571543474","17348,12702",35,1985,2020
1985-2020,Non Observed,Forest Formation,"0,1564005667","173,2918278",35,1985,2020
1985-2020,Non Observed,Savanna Formation,"0,0141151461","15,63958183",35,1985,2020
1985-2020,Non Observed,Magrove,"0,0399931799","44,31244336",35,1985,2020
1985-2020,Non Observed,Wetland,"0,0008782884","0,9731435374",35,1985,2020
1985-2020,Non Observed,"Grassland (Pastizal, Formación Herbácea)","0,0664539408","73,6309664",35,1985,2020
1985-2020,Non Observed,Pasture,"0,0688561575","76,29262255",35,1985,2020
1985-2020,Non Observed,Mosaic of Agriculture and Pasture,"0,0293737839","32,5461526",35,1985,2020
1985-2020,Non Observed,Beach and Dune,"18,5114043318","20510,636",35,1985,2020
1985-2020,Non Observed,Urban Infrastructure,"0,0024155689","2,676450351",35,1985,2020
1985-2020,Non Observed,Other Non Vegetated Area,"0,2909329736","322,3537348",35,1985,2020
1985-2020,Non Observed,"River, Lake and Ocean","1,7282952883","1914,951179",35,1985,2020
1985-2020,Non Observed,Wooded Restinga,"0,0123674626","13,70314854",35,1985,2020
1985-2020,Forest Formation,Non Observed,"0,1579668958","175,0273205",35,1985,2020
1985-2020,Forest Formation,Forest Formation,"306.489,2846671590","339590127,4",35,1985,2020
1985-2020,Forest Formation,Savanna Formation,"261,9983991208","290294,2262",35,1985,2020
1985-2020,Forest Formation,Magrove,"227,5524417091","252128,1054",35,1985,2020
1985-2020,Forest Formation,Forest Plantation,"32,4987045877","36008,56468",35,1985,2020
1985-2020,Forest Formation,Wetland,"16,8067240003","18621,85019",35,1985,2020
1985-2020,Forest Formation,"Grassland (Pastizal, Formación Herbácea)","123,0563871390","136346,477",35,1985,2020
1985-2020,Forest Formation,Other Non Forest Natural Formation,"0,0843711021","93,48318107",35,1985,2020
1985-2020,Forest Formation,Pasture,"2.548,2952415581","2823511,128",35,1985,2020
1985-2020,Forest Formation,Sugar Cane,"0,0180966570","20,051096",35,1985,2020
1985-2020,Forest Formation,Mosaic of Agriculture and Pasture,"143,2706598422","158743,8911",35,1985,2020
1985-2020,Forest Formation,Beach and Dune,"1,8565915826","2057,103473",35,1985,2020
1985-2020,Forest Formation,Urban Infrastructure,"0,0757612155","83,94342672",35,1985,2020
1985-2020,Forest Formation,Other Non Vegetated Area,"2,6407287061","2925,927406",35,1985,2020
1985-2020,Forest Formation,Rocky outcrop,"10,4931923113","11626,45708",35,1985,2020
1985-2020,Forest Formation,Mining,"17,9645689591","19904,74241",35,1985,2020
1985-2020,Forest Formation,Salt flat,"0,0035729354","3,958812451",35,1985,2020
1985-2020,Forest Formation,"River, Lake and Ocean","735,3849562677","814806,5315",35,1985,2020
1985-2020,Forest Formation,Soy Beans,"5,0454667245","5590,377131",35,1985,2020
1985-2020,Forest Formation,Rice,"0,0038388330","4,253426973",35,1985,2020
1985-2020,Forest Formation,Mosaic of Crops,"24,5325171603","27182,02901",35,1985,2020
1985-2020,Forest Formation,Coffe,"5,6821701451","6295,844521",35,1985,2020
