system:index,area,band,class,class_name,.geo
0_0_0,36.578641035949424,classification_1985,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,310646.8410523498,classification_1985,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,21900.418860317226,classification_1985,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,834.6594373321328,classification_1985,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,34.77217162048324,classification_1985,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,5378.560621904915,classification_1985,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,30604.512822294244,classification_1985,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,73.10007138421511,classification_1985,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,3304.5062463145205,classification_1985,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.1799391216430664,classification_1985,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,915.1459701029065,classification_1985,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,1125.6539260036789,classification_1985,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,0.8932074173583983,classification_1985,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,238.21782921209734,classification_1985,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,311.12328984594143,classification_1985,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,1.2358581230468797,classification_1985,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,0.021100907775878905,classification_1985,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,4.544232102294921,classification_1985,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,5657.509867184441,classification_1985,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,0.28384477862548835,classification_1985,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,4.314493857299807,classification_1985,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,38.992480175904,classification_1985,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,23.16129391900636,classification_1985,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,3.506343322265634,classification_1985,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_24,281.5423299618649,classification_1985,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,37.123324316039714,classification_1986,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,311014.42619639833,classification_1986,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,21958.90166882517,classification_1986,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,844.253092427412,classification_1986,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,37.378108829406585,classification_1986,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,5389.388859834422,classification_1986,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,30452.225008081772,classification_1986,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,72.54746572991809,classification_1986,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,2725.7850787414245,classification_1986,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,0.17993851049804688,classification_1986,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,911.3725314950577,classification_1986,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
