class,Aggregated_class
3,Forest
4,Forest
5,Forest
49,Forest
1,Forest
11,Non forest Natural Formation
12,Non forest Natural Formation
32,Non forest Natural Formation
29,Non forest Natural Formation
13,Non forest Natural Formation
10,Non forest Natural Formation
15,Pasture
18,Agriculture
19,Agriculture
39,Agriculture
20,Agriculture
40,Agriculture
41,Agriculture
36,Agriculture
46,Agriculture
47,Agriculture
48,Agriculture
9,Agriculture
21,Agriculture
22,Non-vegetated area
23,Non-vegetated area
24,Non-vegetated area
30,Non-vegetated area
25,Non-vegetated area
26,Water
33,Water
31,Water
0,Non observed
27,Non observed
